"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,8,23,0.359057826152587,0.146666666666667
6,2,0.3,0.3,0.3,8,23,0.0144122938077817,0.926666666666667
6,2,0,0.3,0.3,10,23,0.209688110322187,0.39
6,2,0.3,0.3,0.3,10,23,-0.377942822761768,0.133333333333333
6,2,0,0.3,0.3,12,23,-0.0900745869792484,0.673333333333333
6,2,0.3,0.3,0.3,12,23,-0.24119565888965,0.3
6,2,0,0.3,0.3,14,23,-0.154327350852829,0.406666666666667
6,2,0.3,0.3,0.3,14,23,-0.262246490499369,0.21
6,2,0,0.3,0.3,16,23,-0.313123274649149,0.12
6,2,0.3,0.3,0.3,16,23,-0.334189380909155,0.08
6,2,0,0.3,0.3,6,24,-0.445858617467436,0.173333333333333
6,2,0.3,0.3,0.3,6,24,-0.263631617698956,0.423333333333333
6,2,0,0.3,0.3,8,24,-0.356937572759917,0.21
6,2,0.3,0.3,0.3,8,24,-0.306627708052875,0.253333333333333
6,2,0,0.3,0.3,10,24,0.0778035868731659,0.706666666666667
6,2,0.3,0.3,0.3,10,24,-0.655437754877364,0.00333333333333333
6,2,0,0.3,0.3,12,24,-0.114470719687079,0.57
6,2,0.3,0.3,0.3,12,24,-0.397466120574192,0.0766666666666667
6,2,0,0.3,0.3,14,24,-0.017770789793679,0.92
6,2,0.3,0.3,0.3,14,24,-0.401682913353324,0.04
6,2,0,0.3,0.3,16,24,0.0510408861537834,0.716666666666667
6,2,0.3,0.3,0.3,16,24,-0.232842953280529,0.226666666666667
6,2,0,0.3,0.3,6,25,-0.521276382059179,0.09
6,2,0.3,0.3,0.3,6,25,-0.907024450583213,0.00333333333333333
6,2,0,0.3,0.3,8,25,-0.343357081621496,0.19
6,2,0.3,0.3,0.3,8,25,-0.461055902127838,0.0866666666666667
6,2,0,0.3,0.3,10,25,0.150541142103907,0.44
6,2,0.3,0.3,0.3,10,25,-0.0744894113765772,0.76
6,2,0,0.3,0.3,12,25,-0.0745252820665962,0.706666666666667
6,2,0.3,0.3,0.3,12,25,-0.489239167424114,0.0233333333333333
6,2,0,0.3,0.3,14,25,-0.349644642485833,0.07
6,2,0.3,0.3,0.3,14,25,-0.189781104739675,0.32
6,2,0,0.3,0.3,16,25,-0.197154465167729,0.323333333333333
6,2,0.3,0.3,0.3,16,25,-0.318817924537233,0.09
6,2,0,0.3,0.3,6,26,-0.0539356338033777,0.853333333333333
6,2,0.3,0.3,0.3,6,26,-0.260822085864836,0.403333333333333
6,2,0,0.3,0.3,8,26,-0.34492695359556,0.146666666666667
6,2,0.3,0.3,0.3,8,26,-0.290086894915205,0.263333333333333
6,2,0,0.3,0.3,10,26,-0.184898096970111,0.426666666666667
6,2,0.3,0.3,0.3,10,26,-0.564087041773747,0.0166666666666667
6,2,0,0.3,0.3,12,26,0.0304812182320873,0.903333333333333
6,2,0.3,0.3,0.3,12,26,-0.956036658524776,0
6,2,0,0.3,0.3,14,26,-0.0254341701297226,0.89
6,2,0.3,0.3,0.3,14,26,-0.202837564802083,0.27
6,2,0,0.3,0.3,16,26,0.0721062343235252,0.696666666666667
6,2,0.3,0.3,0.3,16,26,-0.669234813016176,0.00333333333333333
