"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,10,17,0.0975533170747988,0.67
6,2,0.3,0.3,0.3,10,17,-0.578703949508489,0.0266666666666667
6,2,0,0.3,0.3,15,17,0.167891901745999,0.363333333333333
6,2,0.3,0.3,0.3,15,17,-0.395647195310207,0.0366666666666667
6,2,0,0.3,0.3,20,17,0.152597196552959,0.356666666666667
6,2,0.3,0.3,0.3,20,17,-0.298236979357203,0.09
6,2,0,0.3,0.3,25,17,0.0667154548573895,0.653333333333333
6,2,0.3,0.3,0.3,25,17,-0.00370219367779863,0.963333333333333
6,2,0,0.3,0.3,30,17,0.0623552636964931,0.65
6,2,0.3,0.3,0.3,30,17,0.0363892159545306,0.77
6,2,0,0.3,0.3,35,17,-0.0365780901141226,0.773333333333333
6,2,0.3,0.3,0.3,35,17,-0.346804984277064,0.01
6,2,0,0.3,0.3,40,17,-0.145391203161836,0.226666666666667
6,2,0.3,0.3,0.3,40,17,-0.264795087270065,0.0366666666666667
6,2,0,0.3,0.3,10,18,0.0205310521264694,0.936666666666667
6,2,0.3,0.3,0.3,10,18,-0.0652648755253829,0.786666666666667
6,2,0,0.3,0.3,15,18,0.456869047242749,0.0233333333333333
6,2,0.3,0.3,0.3,15,18,-0.449783350875896,0.0166666666666667
6,2,0,0.3,0.3,20,18,-0.102959908444075,0.566666666666667
6,2,0.3,0.3,0.3,20,18,-0.139491920617403,0.38
6,2,0,0.3,0.3,25,18,-0.0366210123320968,0.793333333333333
6,2,0.3,0.3,0.3,25,18,-0.39005378071374,0.00666666666666667
6,2,0,0.3,0.3,30,18,0.105232368202817,0.413333333333333
6,2,0.3,0.3,0.3,30,18,-0.0763211986414936,0.62
6,2,0,0.3,0.3,35,18,0.0866807264294532,0.486666666666667
6,2,0.3,0.3,0.3,35,18,-0.33068707928888,0.00333333333333333
6,2,0,0.3,0.3,40,18,-0.0168749953209329,0.903333333333333
6,2,0.3,0.3,0.3,40,18,-0.121512995799388,0.316666666666667
6,2,0,0.3,0.3,10,19,0.094967508937139,0.65
6,2,0.3,0.3,0.3,10,19,-0.369356894454294,0.123333333333333
6,2,0,0.3,0.3,15,19,-0.173003923923334,0.34
6,2,0.3,0.3,0.3,15,19,-0.406572839376288,0.0233333333333333
6,2,0,0.3,0.3,20,19,0.157441574551306,0.303333333333333
6,2,0.3,0.3,0.3,20,19,-0.286998944860114,0.0933333333333333
6,2,0,0.3,0.3,25,19,-0.052387375731794,0.76
6,2,0.3,0.3,0.3,25,19,-0.0265263269897728,0.86
6,2,0,0.3,0.3,30,19,-0.0197466392734417,0.863333333333333
6,2,0.3,0.3,0.3,30,19,-0.369623203364429,0.00666666666666667
6,2,0,0.3,0.3,35,19,0.187629109920403,0.136666666666667
6,2,0.3,0.3,0.3,35,19,-0.208389795830523,0.07
6,2,0,0.3,0.3,40,19,0.110274247034969,0.336666666666667
6,2,0.3,0.3,0.3,40,19,-0.491417528864731,0
6,2,0,0.3,0.3,10,20,-0.0671912796697299,0.756666666666667
6,2,0.3,0.3,0.3,10,20,0.00921471022166855,0.983333333333333
6,2,0,0.3,0.3,15,20,0.0528333817874668,0.783333333333333
6,2,0.3,0.3,0.3,15,20,-0.564633363997359,0.00333333333333333
6,2,0,0.3,0.3,20,20,-0.0871848428804499,0.576666666666667
6,2,0.3,0.3,0.3,20,20,-0.0911515594007692,0.526666666666667
6,2,0,0.3,0.3,25,20,0.197090795026329,0.183333333333333
6,2,0.3,0.3,0.3,25,20,-0.100618075601099,0.48
6,2,0,0.3,0.3,30,20,0.033243866770381,0.806666666666667
6,2,0.3,0.3,0.3,30,20,-0.193366758742303,0.17
6,2,0,0.3,0.3,35,20,0.0624125877905216,0.593333333333333
6,2,0.3,0.3,0.3,35,20,-0.0317644583888858,0.796666666666667
6,2,0,0.3,0.3,40,20,0.110756769052344,0.39
6,2,0.3,0.3,0.3,40,20,-0.475166275825018,0
6,2,0,0.3,0.3,10,21,-0.306765169642109,0.196666666666667
6,2,0.3,0.3,0.3,10,21,-0.351549627449299,0.143333333333333
6,2,0,0.3,0.3,15,21,0.0977191193329174,0.57
6,2,0.3,0.3,0.3,15,21,-0.157659231396323,0.413333333333333
6,2,0,0.3,0.3,20,21,0.167930159065621,0.296666666666667
6,2,0.3,0.3,0.3,20,21,-0.190160604778661,0.27
6,2,0,0.3,0.3,25,21,-0.0433025157501587,0.8
6,2,0.3,0.3,0.3,25,21,0.0605339891437346,0.67
6,2,0,0.3,0.3,30,21,-2.14807713859507e-05,1
6,2,0.3,0.3,0.3,30,21,-0.610253092348579,0
6,2,0,0.3,0.3,35,21,0.318051531059315,0.02
6,2,0.3,0.3,0.3,35,21,-0.197729665391529,0.103333333333333
6,2,0,0.3,0.3,40,21,0.0399531594111078,0.733333333333333
6,2,0.3,0.3,0.3,40,21,-0.366716145316773,0.00666666666666667
6,2,0,0.3,0.3,10,22,-0.376918970983209,0.0933333333333333
6,2,0.3,0.3,0.3,10,22,-0.229697304123647,0.396666666666667
6,2,0,0.3,0.3,15,22,-0.181485803794621,0.37
6,2,0.3,0.3,0.3,15,22,-0.59376707316326,0.00333333333333333
6,2,0,0.3,0.3,20,22,0.0245246897333534,0.883333333333333
6,2,0.3,0.3,0.3,20,22,-0.151053819255646,0.326666666666667
6,2,0,0.3,0.3,25,22,-0.27684330744505,0.0933333333333333
6,2,0.3,0.3,0.3,25,22,-0.0763375659719947,0.583333333333333
6,2,0,0.3,0.3,30,22,-0.0314082651512589,0.776666666666667
6,2,0.3,0.3,0.3,30,22,-0.30967518452211,0.02
6,2,0,0.3,0.3,35,22,-0.115728186549746,0.32
6,2,0.3,0.3,0.3,35,22,-0.431738660225207,0
6,2,0,0.3,0.3,40,22,-0.0213512035086323,0.893333333333333
6,2,0.3,0.3,0.3,40,22,-0.276283351927671,0.00333333333333333
6,2,0,0.3,0.3,10,23,0.0128594723760703,0.953333333333333
6,2,0.3,0.3,0.3,10,23,-0.160685032541334,0.503333333333333
6,2,0,0.3,0.3,15,23,-0.0768297041073013,0.676666666666667
6,2,0.3,0.3,0.3,15,23,-0.150384235936857,0.416666666666667
6,2,0,0.3,0.3,20,23,0.175237740111507,0.243333333333333
6,2,0.3,0.3,0.3,20,23,-0.32085651780837,0.06
6,2,0,0.3,0.3,25,23,-0.142124803030242,0.29
6,2,0.3,0.3,0.3,25,23,-0.689988219147091,0
6,2,0,0.3,0.3,30,23,-0.148331612561933,0.303333333333333
6,2,0.3,0.3,0.3,30,23,-0.232056514884049,0.106666666666667
6,2,0,0.3,0.3,35,23,-0.0143756923688558,0.9
6,2,0.3,0.3,0.3,35,23,-0.329843237534823,0
6,2,0,0.3,0.3,40,23,0.0496146142805301,0.693333333333333
6,2,0.3,0.3,0.3,40,23,-0.231068827989376,0.0633333333333333
6,2,0,0.3,0.3,10,24,-0.219173967490398,0.36
6,2,0.3,0.3,0.3,10,24,-0.0906544251685398,0.706666666666667
6,2,0,0.3,0.3,15,24,0.00921360499738673,0.96
6,2,0.3,0.3,0.3,15,24,-0.358376393097512,0.0533333333333333
6,2,0,0.3,0.3,20,24,0.0431411602667129,0.753333333333333
6,2,0.3,0.3,0.3,20,24,-0.690907513087283,0
6,2,0,0.3,0.3,25,24,-0.144975416550344,0.356666666666667
6,2,0.3,0.3,0.3,25,24,-0.496422556088371,0.00333333333333333
6,2,0,0.3,0.3,30,24,-0.0471986326988598,0.746666666666667
6,2,0.3,0.3,0.3,30,24,-0.36519753827646,0.00666666666666667
6,2,0,0.3,0.3,35,24,0.167550276855039,0.153333333333333
6,2,0.3,0.3,0.3,35,24,-0.336599483145454,0
6,2,0,0.3,0.3,40,24,0.198060782805147,0.07
6,2,0.3,0.3,0.3,40,24,-0.569789610424519,0
6,2,0,0.3,0.3,10,25,0.205681072429351,0.396666666666667
6,2,0.3,0.3,0.3,10,25,-0.531371825792013,0.0333333333333333
6,2,0,0.3,0.3,15,25,0.0545928951885322,0.766666666666667
6,2,0.3,0.3,0.3,15,25,-0.17965186016975,0.396666666666667
6,2,0,0.3,0.3,20,25,0.128887218349662,0.406666666666667
6,2,0.3,0.3,0.3,20,25,-0.332100789382806,0.04
6,2,0,0.3,0.3,25,25,0.0071870485974007,0.953333333333333
6,2,0.3,0.3,0.3,25,25,-0.0795445338413595,0.576666666666667
6,2,0,0.3,0.3,30,25,0.28878828718694,0.04
6,2,0.3,0.3,0.3,30,25,-0.367257390431439,0.00333333333333333
6,2,0,0.3,0.3,35,25,0.129157867029528,0.276666666666667
6,2,0.3,0.3,0.3,35,25,-0.236953369496208,0.0733333333333333
6,2,0,0.3,0.3,40,25,-0.0347243590880437,0.76
6,2,0.3,0.3,0.3,40,25,-0.272103015806389,0.0233333333333333
6,2,0,0.3,0.3,10,26,-0.290659614753105,0.203333333333333
6,2,0.3,0.3,0.3,10,26,-0.29941311577717,0.18
6,2,0,0.3,0.3,15,26,-0.146773290660378,0.48
6,2,0.3,0.3,0.3,15,26,-0.424428529641731,0.04
6,2,0,0.3,0.3,20,26,0.0107812705143421,0.936666666666667
6,2,0.3,0.3,0.3,20,26,-0.00882354602941415,0.933333333333333
6,2,0,0.3,0.3,25,26,0.100027910672437,0.466666666666667
6,2,0.3,0.3,0.3,25,26,-0.393623413942755,0.00333333333333333
6,2,0,0.3,0.3,30,26,0.185823712780101,0.153333333333333
6,2,0.3,0.3,0.3,30,26,-0.397278939436292,0.00333333333333333
6,2,0,0.3,0.3,35,26,0.16905078719422,0.176666666666667
6,2,0.3,0.3,0.3,35,26,-0.10200178854711,0.4
6,2,0,0.3,0.3,40,26,0.0100159368019463,0.93
6,2,0.3,0.3,0.3,40,26,-0.354770696228972,0.00666666666666667
6,2,0,0.3,0.3,10,27,0.0342736703393174,0.9
6,2,0.3,0.3,0.3,10,27,-0.379772229149884,0.123333333333333
6,2,0,0.3,0.3,15,27,-0.214892974062129,0.256666666666667
6,2,0.3,0.3,0.3,15,27,-0.410887463405415,0.0366666666666667
6,2,0,0.3,0.3,20,27,0.164211172125614,0.333333333333333
6,2,0.3,0.3,0.3,20,27,-0.479270673262428,0.00333333333333333
6,2,0,0.3,0.3,25,27,-0.0632389686235814,0.646666666666667
6,2,0.3,0.3,0.3,25,27,-0.142336879867137,0.36
6,2,0,0.3,0.3,30,27,-0.0225062015936648,0.86
6,2,0.3,0.3,0.3,30,27,-0.446764926425516,0
6,2,0,0.3,0.3,35,27,-0.0173632117115975,0.89
6,2,0.3,0.3,0.3,35,27,-0.208181421237439,0.06
6,2,0,0.3,0.3,40,27,-0.0242212554907035,0.85
6,2,0.3,0.3,0.3,40,27,-0.36790151720088,0
6,2,0,0.3,0.3,10,28,-0.23246082190208,0.35
6,2,0.3,0.3,0.3,10,28,-0.533969362381185,0.02
6,2,0,0.3,0.3,15,28,-0.00701538330989975,0.966666666666667
6,2,0.3,0.3,0.3,15,28,-0.330131714076085,0.08
6,2,0,0.3,0.3,20,28,0.0490561460386067,0.763333333333333
6,2,0.3,0.3,0.3,20,28,-0.183303674117263,0.276666666666667
6,2,0,0.3,0.3,25,28,-0.0269597471066454,0.86
6,2,0.3,0.3,0.3,25,28,0.0269894201991791,0.86
6,2,0,0.3,0.3,30,28,-0.0662802549347128,0.626666666666667
6,2,0.3,0.3,0.3,30,28,-0.475858084377555,0
6,2,0,0.3,0.3,35,28,-0.134711398558061,0.23
6,2,0.3,0.3,0.3,35,28,-0.141527549163188,0.246666666666667
6,2,0,0.3,0.3,40,28,-0.0319634389552686,0.77
6,2,0.3,0.3,0.3,40,28,-0.376530805026743,0
6,2,0,0.3,0.3,10,29,0.319147361602964,0.18
6,2,0.3,0.3,0.3,10,29,-0.510548782070118,0.0233333333333333
6,2,0,0.3,0.3,15,29,-0.107355355138831,0.576666666666667
6,2,0.3,0.3,0.3,15,29,-0.815873165940205,0
6,2,0,0.3,0.3,20,29,-0.0064081688275291,0.963333333333333
6,2,0.3,0.3,0.3,20,29,-0.217888931222501,0.186666666666667
6,2,0,0.3,0.3,25,29,0.226658653976118,0.1
6,2,0.3,0.3,0.3,25,29,-0.439090850389138,0.01
