"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,73,10,0,0.3,6,3,-0.527306064161991,0.452
6,2,0.2,83,10,0,0.3,6,3,-0.292326492510142,0.454
6,2,0.2,442,10,0,0.3,6,3,0.346509555918828,0.454
6,2,0.2,189,10,0,0.3,6,3,0.943748396734406,0.456
6,2,0.2,415,10,0,0.3,6,3,0.492435582074904,0.456
6,2,0.2,261,10,0,0.3,6,3,-0.313161890245453,0.458
6,2,0.2,456,10,0,0.3,6,3,-0.842773338291465,0.458
6,2,0.2,461,10,0,0.3,6,3,-0.393178339423827,0.458
6,2,0.2,205,10,0,0.3,6,3,-0.382594393124322,0.466
6,2,0.2,361,10,0,0.3,6,3,-0.528551138872615,0.472
6,2,0.2,462,10,0,0.3,6,3,0.839273831907747,0.474
6,2,0.2,241,10,0,0.3,6,3,0.200277277718726,0.476
6,2,0.2,326,10,0,0.3,6,3,-0.381658413943654,0.478
6,2,0.2,165,10,0,0.3,6,3,-0.47549999808777,0.482
6,2,0.2,96,10,0,0.3,6,3,-0.287853707523681,0.486
6,2,0.2,364,10,0,0.3,6,3,-1.00391944084768,0.488
6,2,0.2,142,10,0,0.3,6,3,0.683049067756059,0.49
