"nGroupT","nGroupC","meanC","sdC","iteration","ef","rho","sampleSize","idSD","coef","boot_pval"
2,2,3.46,0.5,10,0,0.3,25,5,-0.388701499156127,0.825
2,2,3.46,0.5,7,0,0.3,25,0.5,-0.101112104036474,0.86
2,2,3.46,0.5,10,0,0.3,25,0.5,0.00534495951819736,0.965
2,2,3.46,0.5,1,0,0.3,25,5,-0.0464136207046977,0.97
2,2,3.46,0.5,4,0.2,0.3,5,5,-8.11102392393286,0.015
2,2,3.46,0.5,5,0.2,0.3,5,5,8.63452903166171,0.03
2,2,3.46,0.5,10,0.2,0.3,5,0.5,-1.04990362020487,0.045
2,2,3.46,0.5,3,0.2,0.3,5,5,5.82917017658463,0.045
2,2,3.46,0.5,1,0.2,0.3,5,1,-1.64518165796233,0.055
2,2,3.46,0.5,8,0.2,0.3,5,0.5,-1.40983441467586,0.065
2,2,3.46,0.5,3,0.2,0.3,5,0.5,-1.13888828395591,0.105
2,2,3.46,0.5,6,0.2,0.3,5,0.5,-1.25448879901194,0.165
2,2,3.46,0.5,9,0.2,0.3,5,0.5,-0.467870524907084,0.18
2,2,3.46,0.5,7,0.2,0.3,5,0.5,-1.08252952715566,0.185
2,2,3.46,0.5,3,0.2,0.3,5,1,-0.936284472333,0.195
2,2,3.46,0.5,5,0.2,0.3,5,1,0.384815476185622,0.195
2,2,3.46,0.5,8,0.2,0.3,5,5,-3.70501875874163,0.21
2,2,3.46,0.5,6,0.2,0.3,5,1,-0.646375718702984,0.28
2,2,3.46,0.5,2,0.2,0.3,5,1,-0.428846951228252,0.29
2,2,3.46,0.5,6,0.2,0.3,5,5,-1.73579861809446,0.315
2,2,3.46,0.5,2,0.2,0.3,5,0.5,-1.08708093768325,0.32
2,2,3.46,0.5,7,0.2,0.3,5,1,-1.03188722880259,0.37
2,2,3.46,0.5,9,0.2,0.3,5,1,-1.33066838592458,0.375
2,2,3.46,0.5,10,0.2,0.3,5,1,0.250040780254267,0.38
2,2,3.46,0.5,5,0.2,0.3,5,0.5,-0.169461187115985,0.57
2,2,3.46,0.5,4,0.2,0.3,5,1,-1.09636082880843,0.58
2,2,3.46,0.5,7,0.2,0.3,5,5,-2.17212259302266,0.665
2,2,3.46,0.5,8,0.2,0.3,5,1,0.304133371463763,0.735
2,2,3.46,0.5,2,0.2,0.3,5,5,-0.831311417347706,0.75
2,2,3.46,0.5,10,0.2,0.3,5,5,-1.79938907367728,0.78
2,2,3.46,0.5,1,0.2,0.3,5,0.5,-0.11173309920764,0.8
2,2,3.46,0.5,9,0.2,0.3,5,5,0.344634669631319,0.83
2,2,3.46,0.5,4,0.2,0.3,5,0.5,0.0196509387765218,0.94
2,2,3.46,0.5,1,0.2,0.3,5,5,0.154785211853778,0.94
2,2,3.46,0.5,1,0.2,0.3,10,1,-0.840629150532209,0.005
2,2,3.46,0.5,3,0.2,0.3,10,0.5,-1.58222924926497,0.025
2,2,3.46,0.5,10,0.2,0.3,10,0.5,-0.961483093571019,0.045
